mine_id,mine_name,mine_type,year,month,monthly_target_tonnes,actual_production_tonnes,shortfall_tonnes,shortfall_pct,rainfall_mm,avg_temperature_c,equipment_uptime_pct,breakdown_hours,blasting_delays_count,avg_feed_grade_pct
40MPR01002,Balaghat (Bharweli),Underground,2022,1,41667,40124,1543,3.7,3.1,27.8,87.0,48.8,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,2,41667,36703,4964,11.91,15.4,34.0,85.7,58.8,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,3,41667,40484,1183,2.84,30.6,22.8,89.8,29.4,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,4,41667,41634,33,0.08,1.7,42.1,89.1,33.0,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,5,41667,38632,3035,7.28,14.9,42.3,90.3,52.4,2,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,6,41667,30366,11301,27.12,252.7,32.7,77.4,43.3,3,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,7,41667,41222,445,1.07,339.4,29.9,83.1,18.1,0,42.5
40MR01002,Balaghat (Bharweli),Underground,2022,8,41667,32964,8703,20.89,122.9,32.1,72.6,43.5,2,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,9,41667,38987,2680,6.43,128.9,29.7,88.8,64.8,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,10,41667,30493,11174,26.82,1.4,26.9,77.3,48.4,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,11,41667,41613,54,0.13,28.4,22.8,82.8,15.7,4,42.5
40MPR01002,Balaghat (Bharweli),Underground,2022,12,41667,31991,9676,23.22,4.1,29.4,74.5,43.4,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,1,41667,35418,6249,15.0,0.4,24.7,81.8,62.4,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,2,41667,30751,10916,26.2,10.5,27.8,76.4,63.2,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,3,41667,33417,8250,19.8,13.0,22.4,76.4,53.4,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,4,41667,38049,3618,8.68,0.3,40.5,88.2,52.9,3,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,5,41667,40867,800,1.92,27.4,45.1,88.0,38.9,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,6,41667,33785,7882,18.92,257.3,24.2,76.5,23.2,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,7,41667,29681,11986,28.77,212.0,36.0,72.5,56.3,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,8,41667,33002,8665,20.79,246.2,35.0,72.2,16.0,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,9,41667,33399,8268,19.84,213.7,34.4,81.2,44.2,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,10,41667,43750,0,0.0,3.0,29.8,82.1,19.7,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,11,41667,34987,6680,16.03,18.3,30.2,72.2,52.3,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2023,12,41667,37589,4078,9.79,20.2,24.2,79.1,48.9,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,1,41667,37567,4100,9.84,14.7,29.9,72.1,16.2,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,2,41667,36289,5378,12.91,9.5,27.2,83.4,58.7,2,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,3,41667,42047,0,0.0,23.4,27.7,81.4,14.6,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,4,41667,34269,7398,17.76,10.6,42.3,89.1,51.7,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,5,41667,34734,6933,16.64,4.1,41.5,90.4,42.8,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,6,41667,30843,10824,25.98,193.3,23.6,74.6,40.5,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,7,41667,36407,5260,12.62,356.5,32.7,77.0,13.9,0,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,8,41667,37263,4404,10.57,172.0,29.0,86.5,18.0,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,9,41667,31760,9907,23.78,195.7,33.5,75.4,54.8,2,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,10,41667,42095,0,0.0,23.3,29.3,84.8,29.9,2,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,11,41667,40204,1463,3.51,15.7,32.6,87.9,38.2,1,42.5
40MPR01002,Balaghat (Bharweli),Underground,2024,12,41667,41995,0,0.0,31.4,31.6,89.2,16.7,1,42.5
40MSH05002,Dongri Buzurg,Opencast,2022,1,25000,24388,612,2.45,6.2,25.4,80.4,25.3,1,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,2,25000,23726,1274,5.1,15.5,26.9,86.9,59.4,3,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,3,25000,26250,0,0.0,4.6,26.8,88.2,25.1,0,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,4,25000,24276,724,2.9,19.4,43.2,85.1,24.4,3,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,5,25000,24723,277,1.11,13.0,42.1,82.9,15.9,2,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,6,25000,16143,8857,35.43,223.7,31.3,79.1,54.9,2,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,7,25000,16736,8264,33.06,268.2,26.2,81.2,55.4,4,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,8,25000,21480,3520,14.08,235.3,34.0,80.3,16.7,1,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,9,25000,16157,8843,35.37,160.8,32.8,73.5,55.9,2,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,10,25000,25260,0,0.0,33.7,33.3,81.2,23.9,2,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,11,25000,21916,3084,12.34,19.7,35.2,72.1,24.6,2,46.5
40MSH05002,Dongri Buzurg,Opencast,2022,12,25000,24790,210,0.84,16.7,35.9,85.6,15.9,2,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,1,25000,23772,1228,4.91,19.5,26.3,73.7,12.1,4,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,2,25000,22498,2502,10.01,5.7,26.0,87.9,60.0,3,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,3,25000,25329,0,0.0,3.9,34.2,84.7,20.7,1,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,4,25000,23325,1675,6.7,34.6,40.3,79.1,37.5,2,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,5,25000,22349,2651,10.6,30.6,45.6,88.1,57.1,3,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,6,25000,22458,2542,10.17,160.0,35.5,78.3,17.2,1,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,7,25000,19428,5572,22.29,219.9,25.1,81.3,35.0,3,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,8,25000,25718,0,0.0,127.3,22.2,87.9,37.3,0,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,9,25000,18024,6976,27.9,153.0,35.1,89.2,49.6,4,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,10,25000,21461,3539,14.16,7.5,31.5,80.1,61.4,0,46.5
40MSH05002,Dongri Buzurg,Opencast,2023,11,25000,25355,0,0.0,17.9,34.9,90.1,20.3,2,46.5
